Comment,Designator,Footprint,LCSC
"10u","C1,C4,C17","Capacitor_SMD:C_0402_1005Metric",""
"1u","C3,C10","Capacitor_SMD:C_0402_1005Metric",""
"15p","C2","Capacitor_SMD:C_0402_1005Metric",""
"100n","C5,C6,C7,C8,C11,C13,C14,C15","Capacitor_SMD:C_0402_1005Metric",""
"D_Schottky","D2","Diode_SMD:D_0603_1608Metric",""
"GPIO25 LED","D3","LED_SMD:LED_0402_1005Metric",""
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_2.2mm_M2",""
"Conn_01x02","J2","Button_Switch_SMD:SW_SPST_B3U-1000P",""
"Conn_02x18_Odd_Even","J3,J4","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical",""
"Conn_01x03_Male","J5","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"1k","R1","Capacitor_SMD:C_0402_1005Metric",""
"DNF","R2","Capacitor_SMD:C_0402_1005Metric",""
"27","R3,R4","Capacitor_SMD:C_0402_1005Metric",""
"5.1K","R5,R6","Resistor_SMD:R_0402_1005Metric",""
"100K","R7","Resistor_SMD:R_0402_1005Metric",""
"470","R8","Resistor_SMD:R_0402_1005Metric",""
"SPX3819M5-L-3-3","U1","Package_TO_SOT_SMD:SOT-23-5",""
"W25Q128JVPIQ","U2","",""
"RP2040","U3","RP2040_minimal:RP2040-QFN-56",""
"XO32","X1","Crystal:Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm",""
"USB_C","e1","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12",""